VariantName,GrowthRate,GrowthRateStd,Rank
BA.2.3.7,6.515125004274996,0.29554156108923346,275
BA.2.3.15,6.51510301233424,0.295427479585601,276
BA.2.3.8,6.515075486654197,0.2954655562946409,277
BA.2.3.5,6.515036477912247,0.29540708336838767,278
BA.2.3.1,6.5145271778912015,0.2955179899865571,279
BA.2.3.17,6.514345625490709,0.295656214883785,280
BA.2.3.13,6.513993429595321,0.29555029069904665,281
XH,6.497440364716827,0.3102395397097511,282
XL,6.49503146856029,0.31006229364006127,283
XU,6.49496772191032,0.3099648546083391,284
XG,6.49496772191032,0.3099648546083391,285
XV,6.490609788781677,0.3101539326585868,286
XY,6.490339667959873,0.3103556667342113,287
XAF,6.487531572007346,0.3097783677247637,288
XJ,6.443632320896626,0.3131930559556132,289
XE,6.441497083196389,0.3124698753368919,290
BA.2.41,6.430584019549961,0.3166233315258413,291
XAE,6.381057970621669,0.2985784223677831,292
BA.2.10,6.3455261272347485,0.3862362183594565,293
BA.2.10.2,6.290440267199731,0.29785679615329147,294
BA.2.10.1,6.288169112991115,0.2968678806943251,295
XAL,6.132985760579408,0.3075293993473533,296
XAQ,6.130966764814134,0.30652633347458974,297
XM,6.130966764814134,0.30652633347458974,298
BA.3.1,6.020640233135487,0.2751245402467853,299
XK,5.933761412109257,0.30749167483564427,300
B.1.1.529,5.919636811419544,1.263877895543481,301
XAY,5.757130696574466,0.3252205556066308,302
XAK,5.75299087395508,0.3240838597144373,303
XP,5.608874539189786,0.26209819999920275,304
BA.1.23,5.60143747790618,0.26516499414984684,305
BA.3,5.531397905717215,0.2825108290063508,306
XBA,5.497450340741408,0.3584859275255643,307
BA.1.1.17,5.369320022799371,0.2611977849419885,308
BA.1.1.7,5.364735207928498,0.2586744350644565,309
BA.1.1.4,5.364272314115725,0.25895244142434687,310
BA.1.1.10,5.363973720438824,0.2585591086107908,311
BA.1.1.12,5.363665623188723,0.25881764755199727,312
BA.1.1.9,5.363564242535531,0.2586533151895435,313
BC.2,5.363557027091249,0.25869775679950663,314
BA.1.1.16,5.363548459757667,0.25858293665213555,315
BA.1.1.5,5.3634972260922655,0.25857971870608704,316
BA.1.1.6,5.363482103905202,0.25859499272695263,317
BA.1.1.8,5.363437773667278,0.2586114186095426,318
BA.1.1.15,5.363214962782635,0.25862954010837114,319
BA.1.1.13,5.363207244903314,0.2588252172929858,320
BA.1.1.14,5.363169222133881,0.2587504816067257,321
BC.1,5.362886746378935,0.25877055422488576,322
BA.1.1.1,5.362613574689647,0.258478469633667,323
BA.1.1.3,5.362235961087074,0.25940045910637877,324
BA.1.1.2,5.36132683743997,0.2590796299127697,325
BA.1.1.11,5.341679880404271,0.26578136465034463,326
BA.1.1,5.323057603934512,0.27936525830056286,327
XS,5.31250360414095,0.2728156034018396,328
BA.1.1.18,5.259881694551593,0.25967606620974437,329
BA.1.9,5.154263762166464,0.270449684269026,330
BA.1.18,5.096811987339511,0.29961575228028503,331
BA.1.15.2,5.077728101826632,0.27325241703469083,332
BD.1,5.0411505396401415,0.27609112267900554,333
BA.1.15,5.027568394349295,0.2703123407474936,334
BA.1.13.1,5.021381107634787,0.2606004603036715,335
BA.1.15.3,5.020347033949887,0.257657867939494,336
BA.1.15.1,5.0196016350451185,0.25737044701868705,337
BA.1,5.018667731448807,0.2976317406228938,338
BA.1.8,5.016690481456195,0.2592661962513658,339
BA.1.24,5.013795844739652,0.2588626648564397,340
BA.1.13,5.012302434278521,0.2579339031693249,341
BA.1.21.1,5.0122775171353,0.2583809923439466,342
BA.1.21,5.012271845587573,0.2582698526401278,343
BA.1.14,5.011981608459123,0.2578195871655039,344
BA.1.10,5.011980258469309,0.2580474946592221,345
BA.1.6,5.011972680556155,0.2579383202916536,346
BA.1.14.1,5.011963786026368,0.25819575409463547,347
BA.1.14.2,5.011935084814853,0.25833143599007163,348
BA.1.12,5.011918862196397,0.2578484228162956,349
BA.1.5,5.011851795781599,0.25775324003218497,350
BA.1.4,5.011851758571049,0.2577195670114496,351
BA.1.3,5.011845142541356,0.2577232294221263,352
BA.1.2,5.011842324503579,0.25773091903887674,353
BA.1.22,5.011818705432032,0.2578588450630335,354
BA.1.16.2,5.0117947897216215,0.25798392769304557,355
BA.1.16.1,5.0117278841343,0.25838443700276137,356
BA.1.16,5.0117097115397655,0.2579589856691787,357
BA.1.7,5.011292821339562,0.2584410283928369,358
BA.1.20,5.010802499173903,0.2576958456497894,359
BA.1.19,5.003464801483433,0.2617252964682308,360
BA.1.17.2,4.989818912319578,0.2618068742859303,361
BA.1.17,4.972449624022856,0.26310382967097395,362
BA.1.17.1,4.964856246287483,0.2620157390313882,363
XF,4.945599375306261,0.2741004338501445,364
XD,4.695609426396719,0.2656745581134975,365
XAW,4.435596237870605,0.3192247828420981,366
AY.43.3,3.405054290419215,0.15609104157018733,367
AY.130,3.259550427957535,0.18047744448715863,368
AY.4.2.2,3.2492228002463777,0.14543363242514243,369
AY.5.7,3.2442468437162884,0.16443407229734522,370
AY.33.2,3.24024909802621,0.1309269117973123,371
AY.29.2,3.1573661291214687,0.1711656906437504,372
AY.29,3.1548523671867748,0.1706390589393161,373
AY.29.1,3.154125114894014,0.16994169776468013,374
B.1.637.1,3.1449604220215432,0.22327504905431536,375
